feature_id,source_path,column_name,materialization,categorical_encoding,numeric_scaling,missingness
F012,1d.atr,F012__1d__atr,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.close,F012__1d__close,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.confidence,F012__1d__confidence,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.direction,F012__1d__direction,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.efficiency_ratio,F012__1d__efficiency_ratio,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.evidence.ema21,F012__1d__evidence__ema21,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.evidence.ema50,F012__1d__evidence__ema50,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.evidence.ema8,F012__1d__evidence__ema8,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.evidence.return10_pct,F012__1d__evidence__return10_pct,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.momentum_score,F012__1d__momentum_score,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.realized_volatility,F012__1d__realized_volatility,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
F012,1d.structure,F012__1d__structure,SCALAR_EXACT_PATH,ONE_HOT_IF_STRING_FIXED_FROM_DEVELOPMENT_TRAIN_FOLD_ONLY,STANDARDIZE_FROM_TRAIN_FOLD_ONLY,EXPLICIT_MISSING_INDICATOR_PLUS_NO_GLOBAL_IMPUTATION
