symbol,entry_date,signal,strategy,entry_price,contracts,reason,rank_score,option_score
MSFT,2026-01-21,PUT,LONG_PUT,451.14,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-01-28,PUT,LONG_PUT,433.5,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-01-29,PUT,LONG_PUT,430.29,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-01,PUT,LONG_PUT,423.37,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-02,PUT,LONG_PUT,411.21,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-03,PUT,LONG_PUT,414.19,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-04,PUT,LONG_PUT,393.67,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-05,PUT,LONG_PUT,401.14,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-08,PUT,LONG_PUT,413.6,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-09,PUT,LONG_PUT,413.27,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-10,PUT,LONG_PUT,404.37,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-11,PUT,LONG_PUT,401.84,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-12,PUT,LONG_PUT,401.32,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-16,PUT,LONG_PUT,396.86,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-17,PUT,LONG_PUT,399.6,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-18,PUT,LONG_PUT,398.46,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-19,PUT,LONG_PUT,397.23,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-22,PUT,LONG_PUT,384.47,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-23,PUT,LONG_PUT,389.0,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-24,PUT,LONG_PUT,400.6,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-02-26,PUT,LONG_PUT,392.74,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-01,PUT,LONG_PUT,398.55,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-02,PUT,LONG_PUT,403.93,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-17,PUT,LONG_PUT,391.79,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-19,PUT,LONG_PUT,381.87,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-22,PUT,LONG_PUT,383.0,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-23,PUT,LONG_PUT,372.74,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-24,PUT,LONG_PUT,371.04,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-25,PUT,LONG_PUT,365.97,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-26,PUT,LONG_PUT,356.77,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-29,PUT,LONG_PUT,358.96,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-30,PUT,LONG_PUT,370.17,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-03-31,PUT,LONG_PUT,369.37,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-04-01,PUT,LONG_PUT,373.46,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-04-05,PUT,LONG_PUT,372.88,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-04-06,PUT,LONG_PUT,372.29,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-04-07,PUT,LONG_PUT,374.33,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-04-08,PUT,LONG_PUT,373.07,1,POSITION_TOO_LARGE,65.0,65.0
MSFT,2026-04-09,PUT,LONG_PUT,370.87,1,POSITION_TOO_LARGE,65.0,65.0
