symbol,entry_date,signal,strategy,pricing_source,option_symbol,entry_price,contracts,reason,rank_score,option_score
AAPL,2026-01-21,PUT,LONG_PUT,,,5.05,0,NO_OPTION_EXIT_PRICES,65.0,65.0
AAPL,2026-01-22,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-01-25,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-01-26,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-01-27,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-02-09,CALL,LONG_CALL,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,70.0,70.0
AAPL,2026-02-10,CALL,LONG_CALL,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,70.0,70.0
AAPL,2026-03-08,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-11,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-12,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-15,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-16,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-17,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-18,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-19,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-22,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-23,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
AAPL,2026-03-24,PUT,LONG_PUT,,,0.0,0,NO_HISTORICAL_ENTRY_CONTRACT,65.0,65.0
